Title,maybe geolocated,type,By,Latitude,Longitude,Well #,County,Reference URL,CONTENTdm number
Part 3,y,oberservation well data sheet,Kevin,40.5754586,-104.7441634,"B7-66-14dcc,B7-66-14bcc",Weld,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/977,977
Part 3,y,,kevin,40.9834254,-102.2968618,"B12-44-31ba1,B12-44-27bc1",Julesburg,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1206,1206
South Platte - binder 3 (folder 2 of 2) - Page 2,y,oberservation well data sheet,Lilly,40.369599,-103.4585094,B5-54-30cb1,Washington,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1551,1551
South Platte - binder 3 (folder 2 of 2) - Page 3,y,oberservation well data sheet,kevin,40.3824393,-103.4170532,B5-54-21ca1,Washington,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1552,1552
South Platte - binder 3 (folder 2 of 2) - Page 4,y,oberservation well data sheet,kevin,40.4585236,-103.3488661,B6-53-30bc1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1553,1553
South Platte - binder 3 (folder 2 of 2) - Page 5,y,oberservation well data sheet,kevin,40.4819442,-103.2995671,B5-54-21ca1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1554,1554
South Platte - binder 3 (folder 2 of 2) - Page 6,y,oberservation well data sheet,kevin,40.4731017,-103.2502842,B6-53-24bc1,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1555,1555
South Platte - binder 3 (folder 2 of 2) - Page 7,y,oberservation well data sheet,Lucas,40.4460979,-103.3850813,B6-54-35bdc,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1556,1556
South Platte - binder 3 (folder 2 of 2) - Page 8,y,oberservation well data sheet,Lucas,40.4678128,-103.3853388,B6-54-23ccd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1557,1557
South Platte - binder 3 (folder 2 of 2) - Page 9,y,oberservation well data sheet,Lucas,40.4922297,-103.3493328,B6-53-18bbb,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1558,1558
South Platte - binder 3 (folder 2 of 2) - Page 10,y,oberservation well data sheet,Lucas,40.481426,-103.3260727,B6-53-17cdd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1559,1559
South Platte - binder 3 (folder 2 of 2) - Page 11,y,Observation well,Connor,40.4672578,-103.3175755,B6-53-20ddd,Logan,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll166/id/1560,1560
