Collection,Image URL,ID,IIIF,Georeference,TMS,By,Map Name,Year,Annotation,type
,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/18455/rec/1,18455,https://archives.mountainscholar.org/iiif/2/p17393coll166:18455/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:18455/info.json,https://allmaps.xyz/maps/37db2b7a060596fc/{z}/{x}/{y}.png,Kevin,Morgan,1947-1969,https://annotations.allmaps.org/images/463a2848e5e6181e,GeoJSON
WGDC00105,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/23965/rec/1,23965,https://archives.mountainscholar.org/iiif/2/p17393coll166:23965/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:23965/info.json,https://allmaps.xyz/maps/1d9659029beb2e75/{z}/{x}/{y}.png,Kevin,Baca,1936,https://annotations.allmaps.org/images/e348a13d2928b704,GeoJSON
WGDC00105,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/23966/rec/1,23966,https://archives.mountainscholar.org/iiif/2/p17393coll166:23966/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:23966/info.json,https://allmaps.xyz/maps/88709f4d93e2047b/{z}/{x}/{y}.png,Connor,Baca,1953,https://annotations.allmaps.org/images/11236be2d40d0724,GeoJSON
WGDC00105,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/23967/rec/1,23967,https://archives.mountainscholar.org/iiif/2/p17393coll166:23967/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:23967/info.json,https://allmaps.xyz/maps/e44897b2ed473ec0/{z}/{x}/{y}.png,Connor,Baca,1953,https://annotations.allmaps.org/images/b5909e7f89da8b2e,GeoJSON
WGDC00105,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/23968/rec/1,23968,https://archives.mountainscholar.org/iiif/2/p17393coll166:23968/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:23968/info.json,https://allmaps.xyz/maps/1fb9af09d7195b7e/{z}/{x}/{y}.png,Connor,Baca,NA - Page torn,https://annotations.allmaps.org/images/9e207e5f3597913b,GeoJSON
WGDC00105,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/23969/rec/1,23969,https://archives.mountainscholar.org/iiif/2/p17393coll166:23969/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:23969/info.json,https://allmaps.xyz/maps/484eaa833825a7ba/{z}/{x}/{y}.png,Connor,Baca,1974,https://annotations.allmaps.org/images/73f65360ce2bb5e7,GeoJSON
WGDC00117,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/24125/rec/1,24125,https://archives.mountainscholar.org/iiif/2/p17393coll166:24125/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:24125/info.json,https://allmaps.xyz/maps/298005dba2ff55cc/{z}/{x}/{y}.png,Connor,Kit Carson,1953,https://annotations.allmaps.org/images/d17324c3e48d2242,GeoJSON
WGDC00117,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/24056/rec/1,24056,https://archives.mountainscholar.org/iiif/2/p17393coll166:24056/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:24056/info.json,https://allmaps.xyz/maps/859735b23f5af5d2/{z}/{x}/{y}.png,Connor,Kit Carson,1964,https://annotations.allmaps.org/images/0ffcc266d26fede3,GeoJSON
WGDC00117,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/24057/rec/1,24057,https://archives.mountainscholar.org/iiif/2/p17393coll166:24057/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:24057/info.json,https://allmaps.xyz/maps/ae4177f973ed3790/%7Bz%7D/%7Bx%7D/%7By%7D.png,Connor,Kit Carson ,1943,https://annotations.allmaps.org/images/5a8a7e010dd7e791,GeoJSON
WGDC00118,https://archives.mountainscholar.org/digital/collection/p17393coll166/id/24128/rec/1,24128,https://archives.mountainscholar.org/iiif/2/p17393coll166:24128/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll166:24128/info.json,https://allmaps.xyz/maps/a778a8bc451541e4/{z}/{x}/{y}.png,Connor ,Larimer,1958,https://annotations.allmaps.org/images/cf3643d812029919,GeoJSON
